"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","1학년 학급수","1학년 학생수","1학년 학급당 학생수","2학년 학급수","2학년 학생수","2학년 학급당 학생수","3학년 학급수","3학년 학생수","3학년 학급당 학생수","4학년 학급수","4학년 학생수","4학년 학급당 학생수","5학년 학급수","5학년 학생수","5학년 학급당 학생수","6학년 학급수","6학년 학생수","6학년 학급당 학생수","특수학급 학급수","특수학급 학생수","특수학급 학급당 학생수","순회학급 학급수","순회학급 학생수","순회학급 학급당 학생수","학급수(계)","학생수(계)","학급당 학생수(계)","교사수","수업교원 1인당 학생수"
"경상북도교육청","경상북도김천교육지원청","경상북도 김천시","S150006026","김천동신초등학교","02","공립","N","","3","58","19.3","3","77","25.7","4","92","23","4","99","24.8","4","100","25","5","122","24.4","2","8","4","0","0","0","25","556","22.2","32","17.4"
"경상북도교육청","경상북도안동교육지원청","경상북도 안동시","S150006027","녹전초등학교원천분교장","02","공립","N","","0","0","0","0","0","0","0","0","0","1","3","3","1","4","4","0","0","0","0","0","0","0","0","0","2","7","3.5","3","2.3"
"경상북도교육청","경상북도경산교육지원청","경상북도 경산시","S150006029","사동초등학교","02","공립","N","","4","82","20.5","4","94","23.5","4","106","26.5","4","88","22","5","133","26.6","5","118","23.6","1","7","7","0","0","0","27","628","23.3","33","19"
"경상북도교육청","경상북도경산교육지원청","경상북도 경산시","S150006030","성암초등학교","02","공립","N","","9","228","25.3","10","283","28.3","9","244","27.1","11","276","25.1","9","223","24.8","8","206","25.8","2","9","4.5","0","0","0","58","1469","25.3","76","19.3"
"경상북도교육청","경상북도안동교육지원청","경상북도 안동시","S150006032","안동강남초등학교","02","공립","N","","4","96","24","4","97","24.3","5","130","26","4","94","23.5","5","137","27.4","6","142","23.7","1","2","2","0","0","0","29","698","24.1","37","18.9"
"경상북도교육청","경상북도구미교육지원청","경상북도 구미시","S150006034","구미사곡초등학교","02","공립","N","","3","81","27","3","74","24.7","4","85","21.3","4","92","23","3","65","21.7","3","83","27.7","3","15","5","0","0","0","23","495","21.5","28","17.7"
"경상북도교육청","경상북도영천교육지원청","경상북도 영천시","S150006143","포은초등학교","02","공립","N","","7","166","23.7","7","170","24.3","8","206","25.8","8","195","24.4","7","172","24.6","8","205","25.6","2","9","4.5","0","0","0","47","1123","23.9","60","18.7"
"경상북도교육청","경상북도경산교육지원청","경상북도 경산시","S150006146","옥곡초등학교","02","공립","N","","5","137","27.4","6","163","27.2","7","187","26.7","7","183","26.1","7","194","27.7","9","229","25.4","0","0","0","0","0","0","41","1093","26.7","54","20.2"
"경상북도교육청","경상북도구미교육지원청","경상북도 구미시","S150006149","문장초등학교","02","공립","N","","1","18","18","1","22","22","2","30","15","2","32","16","2","36","18","2","46","23","1","7","7","0","0","0","11","191","17.4","14","13.6"
"경상북도교육청","경상북도칠곡교육지원청","경상북도 칠곡군","S150006151","대교초등학교","02","공립","N","","5","116","23.2","8","182","22.8","8","180","22.5","9","200","22.2","9","199","22.1","9","211","23.4","2","14","7","0","0","0","50","1102","22","63","17.5"
"경상북도교육청","경상북도상주교육지원청","경상북도 상주시","S150006153","성동초등학교","02","공립","N","","1","21","21","2","31","15.5","1","26","26","2","40","20","2","46","23","2","56","28","1","2","2","0","0","0","11","222","20.2","17","13.1"
"경상북도교육청","경상북도구미교육지원청","경상북도 구미시","S150006154","도봉초등학교","02","공립","N","","4","87","21.8","4","98","24.5","5","129","25.8","5","124","24.8","6","144","24","6","155","25.8","1","4","4","0","0","0","31","741","23.9","37","20"
"경상북도교육청","경상북도구미교육지원청","경상북도 구미시","S150006155","진평초등학교","02","공립","N","","4","83","20.8","4","94","23.5","4","101","25.3","4","87","21.8","5","112","22.4","5","119","23.8","2","12","6","0","0","0","28","608","21.7","33","18.4"
"경상북도교육청","경상북도포항교육지원청","경상북도 포항시 북구","S150006231","포항장원초등학교","02","공립","N","","6","141","23.5","5","112","22.4","6","142","23.7","5","115","23","5","112","22.4","4","89","22.3","2","11","5.5","0","0","0","33","722","21.9","41","17.6"
"경상북도교육청","경상북도포항교육지원청","경상북도 포항시 북구","S150006232","포항장흥초등학교","02","공립","N","","1","21","21","2","35","17.5","2","42","21","2","33","16.5","2","43","21.5","2","52","26","0","0","0","0","0","0","11","226","20.5","14","16.1"
"경상북도교육청","경상북도경산교육지원청","경상북도 경산시","S150006237","봉황초등학교","02","공립","N","","3","60","20","4","80","20","4","85","21.3","4","93","23.3","4","95","23.8","5","105","21","2","8","4","0","0","0","26","526","20.2","36","14.6"
"경상북도교육청","경상북도구미교육지원청","경상북도 구미시","S150006248","구미오산초등학교","02","공립","N","","1","14","14","1","18","18","1","20","20","1","28","28","1","22","22","2","33","16.5","1","6","6","0","0","0","8","141","17.6","10","14.1"
"경상북도교육청","경상북도포항교육지원청","경상북도 포항시 남구","S150006258","대이초등학교","02","공립","N","","2","43","21.5","2","54","27","2","50","25","2","55","27.5","2","53","26.5","3","67","22.3","1","6","6","0","0","0","14","328","23.4","17","19.3"
"경상북도교육청","경상북도포항교육지원청","경상북도 포항시 북구","S150006259","포항해맞이초등학교","02","공립","N","","3","67","22.3","4","90","22.5","3","86","28.7","3","79","26.3","4","102","25.5","4","105","26.3","1","5","5","0","0","0","22","534","24.3","29","18.4"
