설(상)치 장소,입력주소,X,Y,CLSS,PNU,주소구분,표준신주소,표준구주소,우편번호,행정동코드,행정동명,법정동코드,법정동명
" 경상북도 구미시 산동면 신당1로3길 3, 일반  (신당리) ","경상북도 구미시 산동면 신당1로3길 3, 일반  (신당리) ",128.4311739,36.1543663,정좌표,4.72E+18,새주소,경상북도 구미시 산동읍 신당1로3길 3,경상북도 구미시 산동읍 신당리 1430,39464,4719025600,산동읍,4719025625,산동읍 신당리
" 경상북도 구미시 산동면 신당1로3길 3, 해송빌딩  (신당리) ","경상북도 구미시 산동면 신당1로3길 3, 해송빌딩  (신당리) ",128.4311739,36.1543663,정좌표,4.72E+18,새주소,경상북도 구미시 산동읍 신당1로3길 3,경상북도 구미시 산동읍 신당리 1430,39464,4719025600,산동읍,4719025625,산동읍 신당리
" 경상북도 구미시 산동면 신당2로 29, 일반  (신당리) ","경상북도 구미시 산동면 신당2로 29, 일반  (신당리) ",128.4317489,36.1558604,정좌표,4.72E+18,새주소,경상북도 구미시 산동읍 신당2로 29,경상북도 구미시 산동읍 신당리 1431,39464,4719025600,산동읍,4719025625,산동읍 신당리
" 경상북도 구미시 산동면 신당2로 47, 상가건물  (신당리) ","경상북도 구미시 산동면 신당2로 47, 상가건물  (신당리) ",128.4297148,36.1558046,정좌표,4.72E+18,새주소,경상북도 구미시 산동읍 신당2로 47,경상북도 구미시 산동읍 신당리 1403,39464,4719025600,산동읍,4719025625,산동읍 신당리
" 경상북도 구미시 산동면 신당2로 47, 아이엔씨타워  (신당리) ","경상북도 구미시 산동면 신당2로 47, 아이엔씨타워  (신당리) ",128.4297148,36.1558046,정좌표,4.72E+18,새주소,경상북도 구미시 산동읍 신당2로 47,경상북도 구미시 산동읍 신당리 1403,39464,4719025600,산동읍,4719025625,산동읍 신당리
" 경상북도 구미시 산동면 신당2로 47, 일반  (신당리) ","경상북도 구미시 산동면 신당2로 47, 일반  (신당리) ",128.4297148,36.1558046,정좌표,4.72E+18,새주소,경상북도 구미시 산동읍 신당2로 47,경상북도 구미시 산동읍 신당리 1403,39464,4719025600,산동읍,4719025625,산동읍 신당리
" 경상북도 구미시 산동면 신당2로 57, 아이프라자  (신당리) ","경상북도 구미시 산동면 신당2로 57, 아이프라자  (신당리) ",128.4286592,36.1558354,정좌표,4.72E+18,새주소,경상북도 구미시 산동읍 신당2로 57,경상북도 구미시 산동읍 신당리 1393,39464,4719025600,산동읍,4719025625,산동읍 신당리
" 경상북도 구미시 산동면 신당2로 9, 일반  (신당리) ","경상북도 구미시 산동면 신당2로 9, 일반  (신당리) ",128.4339827,36.1558433,정좌표,4.72E+18,새주소,경상북도 구미시 산동읍 신당2로 9,경상북도 구미시 산동읍 신당리 1462,39464,4719025600,산동읍,4719025625,산동읍 신당리
" 경상북도 구미시 산동면 신당2로1길 12, 골드클래스2단지  (신당리) ","경상북도 구미시 산동면 신당2로1길 12, 골드클래스2단지  (신당리) ",128.4330328,36.1569102,정좌표,4.72E+18,새주소,경상북도 구미시 산동읍 신당2로1길 12,경상북도 구미시 산동읍 신당리 1391,39464,4719025600,산동읍,4719025625,산동읍 신당리
" 경상북도 구미시 산동면 신당3로 15, 구미확장단지  골드디움(신당리) ","경상북도 구미시 산동면 신당3로 15, 구미확장단지  골드디움(신당리) ",128.433166,36.1568917,정좌표,4.72E+18,새주소,경상북도 구미시 산동읍 신당3로 15,경상북도 구미시 산동읍 신당리 1391,39464,4719025600,산동읍,4719025625,산동읍 신당리
" 경상북도 구미시 산동면 신당3로 43, (신당리, 구미확장단지골드클래스) ","경상북도 구미시 산동면 신당3로 43, (신당리, 구미확장단지골드클래스) ",128.4300759,36.1568037,정좌표,4.72E+18,새주소,경상북도 구미시 산동읍 신당3로 43,경상북도 구미시 산동읍 신당리 1388,39464,4719025600,산동읍,4719025625,산동읍 신당리
" 경상북도 구미시 산동면 신당3로 43, (신당리, 구미확장단지골드클래스) ","경상북도 구미시 산동면 신당3로 43, (신당리, 구미확장단지골드클래스) ",128.4300759,36.1568037,정좌표,4.72E+18,새주소,경상북도 구미시 산동읍 신당3로 43,경상북도 구미시 산동읍 신당리 1388,39464,4719025600,산동읍,4719025625,산동읍 신당리
